"Isolate","level 1","level 2"
"91-118.fna.ref",1,1
"GCA_019986395.1_ASM1998639v1_genomic.fna",2,8
"GCA_010686965.1_ASM1068696v1_genomic.fna",2,8
"GCA_010686845.1_ASM1068684v1_genomic.fna",3,11
"GCA_019986345.1_ASM1998634v1_genomic.fna",4,14
"GCA_019986515.1_ASM1998651v1_genomic.fna",2,8
"GCA_019986275.1_ASM1998627v1_genomic.fna",4,14
"GCA_019986365.1_ASM1998636v1_genomic.fna",2,8
"GCA_010686975.1_ASM1068697v1_genomic.fna",2,8
"GCA_019986245.1_ASM1998624v1_genomic.fna",2,8
"GCA_019986405.1_ASM1998640v1_genomic.fna",2,9
"GCA_010677265.1_ASM1067726v1_genomic.fna",5,17
"GCA_019986195.1_ASM1998619v1_genomic.fna",4,14
"GCA_010677275.1_ASM1067727v1_genomic.fna",3,11
"GCA_019444145.1_ASM1944414v1_genomic.fna",6,19
"GCA_019986485.1_ASM1998648v1_genomic.fna",2,9
"GCA_019986505.1_ASM1998650v1_genomic.fna",2,8
"GCA_010686825.1_ASM1068682v1_genomic.fna",2,8
"GCA_019986295.1_ASM1998629v1_genomic.fna",4,14
"GCA_019986385.1_ASM1998638v1_genomic.fna",4,14
"GCA_019986445.1_ASM1998644v1_genomic.fna",4,14
"GCA_019986305.1_ASM1998630v1_genomic.fna",4,14
"GCA_019986165.1_ASM1998616v1_genomic.fna",2,9
"GCA_010686885.1_ASM1068688v1_genomic.fna",3,11
"GCA_019986215.1_ASM1998621v1_genomic.fna",4,15
"GCA_019986455.1_ASM1998645v1_genomic.fna",2,8
"GCA_010686895.1_ASM1068689v1_genomic.fna",3,11
"GCA_019986185.1_ASM1998618v1_genomic.fna",4,14
"GCA_010686865.1_ASM1068686v1_genomic.fna",5,18
"GCA_019986265.1_ASM1998626v1_genomic.fna",4,14
"GCA_019986585.1_ASM1998658v1_genomic.fna",2,8
"GCA_019986605.1_ASM1998660v1_genomic.fna",2,9
"GCA_019986675.1_ASM1998667v1_genomic.fna",2,8
"GCA_019986785.1_ASM1998678v1_genomic.fna",2,8
"GCA_019986725.1_ASM1998672v1_genomic.fna",2,9
"GCA_019986825.1_ASM1998682v1_genomic.fna",2,9
"GCA_019986565.1_ASM1998656v1_genomic.fna",2,8
"GCA_019986945.1_ASM1998694v1_genomic.fna",2,8
"GCA_019986905.1_ASM1998690v1_genomic.fna",2,9
"GCA_019986665.1_ASM1998666v1_genomic.fna",2,9
"GCA_019986765.1_ASM1998676v1_genomic.fna",2,8
"GCA_019986925.1_ASM1998692v1_genomic.fna",2,9
"GCA_019986745.1_ASM1998674v1_genomic.fna",2,8
"GCA_019986975.1_ASM1998697v1_genomic.fna",2,8
"GCA_019986625.1_ASM1998662v1_genomic.fna",2,9
"GCA_019986885.1_ASM1998688v1_genomic.fna",2,8
"GCA_019986955.1_ASM1998695v1_genomic.fna",2,8
"GCA_019986705.1_ASM1998670v1_genomic.fna",2,8
"GCA_019987045.1_ASM1998704v1_genomic.fna",7,20
"GCA_019986805.1_ASM1998680v1_genomic.fna",2,8
"GCA_019987085.1_ASM1998708v1_genomic.fna",3,11
"GCA_019986845.1_ASM1998684v1_genomic.fna",2,8
"GCA_019986985.1_ASM1998698v1_genomic.fna",2,9
"GCA_019986855.1_ASM1998685v1_genomic.fna",4,14
"GCA_019987025.1_ASM1998702v1_genomic.fna",7,20
"GCA_019987155.1_ASM1998715v1_genomic.fna",1,2
"GCA_019987105.1_ASM1998710v1_genomic.fna",2,9
"GCA_019987125.1_ASM1998712v1_genomic.fna",4,14
"GCA_019987055.1_ASM1998705v1_genomic.fna",7,20
"GCA_019986645.1_ASM1998664v1_genomic.fna",2,8
"GCA_019987165.1_ASM1998716v1_genomic.fna",1,1
"GCA_019987245.1_ASM1998724v1_genomic.fna",7,20
"GCA_019987205.1_ASM1998720v1_genomic.fna",2,9
"GCA_019987225.1_ASM1998722v1_genomic.fna",7,20
"GCA_019987325.1_ASM1998732v1_genomic.fna",7,20
"GCA_019987365.1_ASM1998736v1_genomic.fna",2,8
"GCA_019987455.1_ASM1998745v1_genomic.fna",7,20
"GCA_019987445.1_ASM1998744v1_genomic.fna",1,2
"GCA_019987265.1_ASM1998726v1_genomic.fna",7,20
"GCA_019987145.1_ASM1998714v1_genomic.fna",7,20
"GCA_019987405.1_ASM1998740v1_genomic.fna",2,8
"GCA_019987305.1_ASM1998730v1_genomic.fna",7,20
"GCA_019987345.1_ASM1998734v1_genomic.fna",7,20
"GCA_019987275.1_ASM1998727v1_genomic.fna",7,20
"GCA_019987425.1_ASM1998742v1_genomic.fna",1,2
"GCA_019987605.1_ASM1998760v1_genomic.fna",2,8
"GCA_019987655.1_ASM1998765v1_genomic.fna",2,9
"GCA_019987385.1_ASM1998738v1_genomic.fna",2,8
"GCA_019987485.1_ASM1998748v1_genomic.fna",2,8
"GCA_019987515.1_ASM1998751v1_genomic.fna",2,8
"GCA_019987505.1_ASM1998750v1_genomic.fna",2,8
"GCA_019987535.1_ASM1998753v1_genomic.fna",1,2
"GCA_019987715.1_ASM1998771v1_genomic.fna",3,11
"GCA_019987705.1_ASM1998770v1_genomic.fna",4,14
"GCA_019987625.1_ASM1998762v1_genomic.fna",2,9
"GCA_019987525.1_ASM1998752v1_genomic.fna",4,15
"GCA_019987685.1_ASM1998768v1_genomic.fna",2,8
"GCA_019987645.1_ASM1998764v1_genomic.fna",2,8
"GCA_019987585.1_ASM1998758v1_genomic.fna",2,9
"GCA_019987765.1_ASM1998776v1_genomic.fna",2,9
"GCA_019987785.1_ASM1998778v1_genomic.fna",2,9
"GCA_019987835.1_ASM1998783v1_genomic.fna",2,9
"GCA_019987825.1_ASM1998782v1_genomic.fna",2,9
"GCA_019987885.1_ASM1998788v1_genomic.fna",2,8
"GCA_019987865.1_ASM1998786v1_genomic.fna",2,8
"GCA_019987795.1_ASM1998779v1_genomic.fna",2,9
"GCA_019987925.1_ASM1998792v1_genomic.fna",2,9
"GCA_019987905.1_ASM1998790v1_genomic.fna",2,8
"GCA_019987965.1_ASM1998796v1_genomic.fna",2,9
"GCA_019987935.1_ASM1998793v1_genomic.fna",2,9
"GCA_019987975.1_ASM1998797v1_genomic.fna",2,9
"GCA_019988085.1_ASM1998808v1_genomic.fna",2,9
"GCA_019988005.1_ASM1998800v1_genomic.fna",2,9
"GCA_019988045.1_ASM1998804v1_genomic.fna",2,9
"GCA_019988125.1_ASM1998812v1_genomic.fna",2,9
"GCA_019988145.1_ASM1998814v1_genomic.fna",4,14
"GCA_019988065.1_ASM1998806v1_genomic.fna",2,9
"GCA_019988025.1_ASM1998802v1_genomic.fna",1,3
"GCA_019987745.1_ASM1998774v1_genomic.fna",2,9
"GCA_019988105.1_ASM1998810v1_genomic.fna",1,2
"GCA_019988185.1_ASM1998818v1_genomic.fna",1,2
"GCA_019988225.1_ASM1998822v1_genomic.fna",1,1
"GCA_019988245.1_ASM1998824v1_genomic.fna",1,2
"GCA_019988165.1_ASM1998816v1_genomic.fna",1,2
"GCA_019988175.1_ASM1998817v1_genomic.fna",1,2
"GCA_019988345.1_ASM1998834v1_genomic.fna",4,14
"GCA_019988375.1_ASM1998837v1_genomic.fna",4,14
"GCA_019988365.1_ASM1998836v1_genomic.fna",4,14
"GCA_019988255.1_ASM1998825v1_genomic.fna",1,2
"GCA_019988275.1_ASM1998827v1_genomic.fna",1,2
"GCA_019988425.1_ASM1998842v1_genomic.fna",1,2
"GCA_019988395.1_ASM1998839v1_genomic.fna",1,2
"GCA_019988445.1_ASM1998844v1_genomic.fna",1,2
"GCA_019988285.1_ASM1998828v1_genomic.fna",4,14
"GCA_019988325.1_ASM1998832v1_genomic.fna",1,2
"GCA_019988535.1_ASM1998853v1_genomic.fna",4,14
"GCA_019988485.1_ASM1998848v1_genomic.fna",7,20
"GCA_019988465.1_ASM1998846v1_genomic.fna",4,14
"GCA_019988585.1_ASM1998858v1_genomic.fna",4,14
"GCA_019988515.1_ASM1998851v1_genomic.fna",4,14
"GCA_019988505.1_ASM1998850v1_genomic.fna",1,2
"GCA_019988565.1_ASM1998856v1_genomic.fna",7,20
"GCA_019988605.1_ASM1998860v1_genomic.fna",7,20
"GCA_019988645.1_ASM1998864v1_genomic.fna",4,14
"GCA_019988615.1_ASM1998861v1_genomic.fna",7,20
"GCA_019988665.1_ASM1998866v1_genomic.fna",7,20
"GCA_019988685.1_ASM1998868v1_genomic.fna",1,2
"GCA_019988745.1_ASM1998874v1_genomic.fna",7,20
"GCA_019988985.1_ASM1998898v1_genomic.fna",2,8
"GCA_019988765.1_ASM1998876v1_genomic.fna",7,20
"GCA_019989075.1_ASM1998907v1_genomic.fna",4,14
"GCA_019988705.1_ASM1998870v1_genomic.fna",7,20
"GCA_019989005.1_ASM1998900v1_genomic.fna",1,2
"GCA_019989095.1_ASM1998909v1_genomic.fna",7,20
"GCA_019988795.1_ASM1998879v1_genomic.fna",7,20
"GCA_019988785.1_ASM1998878v1_genomic.fna",2,9
"GCA_019989115.1_ASM1998911v1_genomic.fna",2,8
"GCA_019989245.1_ASM1998924v1_genomic.fna",7,20
"GCA_019989175.1_ASM1998917v1_genomic.fna",7,20
"GCA_019988905.1_ASM1998890v1_genomic.fna",1,2
